Comment,Number_of_nuclei,Area,Mean_intensity,Total_intensity
,6,13.5238,18441.8903,249404.436
microspores,1,2.3467,13042.2047,30606.14177
,8,15.5124,24072.7444,373426.0402
,6,16.6541,20931.7556,348599.5509
microspores,1,1.9548,15008.1444,29337.92067
,4,13.4059,18048.6402,241958.2657
,7,14.0589,26838.5241,377320.1265
,8,26.3778,19188.4889,506150.1225
microspores,1,2.5573,6864.9061,17555.62437
microspores,1,1.8706,12471.4302,23329.05733
,4,16.4898,18425.0399,303825.2229
,5,13.309,19637.1197,261350.4261
microspores,1,2.0054,16324.0273,32736.20435
microspores,1,2.3972,20427.0685,48967.76861
,4,13.8777,21508.8913,298493.9408
,5,13.132,17509.8383,229939.1966
microspores,1,2.7427,13546.6959,37154.52284
,6,15.1332,25225.9349,381749.118
microspores,1,1.9591,15552.1398,30468.19708
microspores,1,2.6879,10620.8119,28547.68031
microspores,1,2.3509,9441.0753,22195.02392
,6,14.4128,26021.8614,375047.884
microspores,1,1.8959,18839.3511,35717.52575
,6,16.6668,26241.6183,437363.8039
